name,price
Intrepid Spearman,0.44
Explosive Rune,0.46
Riptide Slash,0.49
Imperious Highlander,0.5
Flamebreak Chorus,0.5
Anthem of Vitality,0.5
Develop Mana,0.54
Cunning Broker,0.55
Port Smuggler,0.63
Blazing Bowman,0.68
Mark of Fervor,0.73
Dematerialize,0.76
Scatter Essence,0.78
Azure Protective Trinket,0.8
Mist Resonance,0.8
Protective Fractal,0.87
Hone by Fire,0.88
Rally the Peasants,0.89
Capricious Lynx,0.95
Sealed Blade,0.97
Oceans Blessing,1
Crimson Protective Trinket,1.08
Jewel of Enlightenment,1.1
Wand of Frost,1.17
Viridian Protective Trinket,1.19
Incendiary Fractal,1.2
Ordinary Bear,1.21
Spontaneous Combustion,1.24
Innervate Fury,1.25
Guarded Dissipation,1.25
Invoke Dominance,1.25
Cloak of Stillwater,1.26
Corhazi Arsonist,1.41
Reckless Slash,1.41
Curved Dagger,1.42
Windrider Invoker,1.43
Firetongue,1.45
Training Session,1.49
Deep Sea Fractal,1.5
Wildheart Lyre,1.5
Cram Session,1.5
Fishing Accident,1.5
Glacial Guidance,1.5
Reckless Researcher,1.5
Song of Return,1.5
Windrider Mage,1.57
Seeking Shot,1.58
Crusader of Aesa,1.59
Steady Verse,1.68
Mistbound Watcher,1.69
Illuminate Secrets,1.75
Seafaring Mercenary,1.77
Impassioned Tutor,1.84
Accepted Contract,1.86
Beastsoul Visage,1.87
Scattering Gusts,1.89
Sharpening Stone,1.89
Wilderness Harpist,1.9
Arrow Trap,1.95
Ignite the Soul,1.96
Pipers Lullaby,1.96
Rebellious Bull,1.96
Fractal of Intrusion,1.98
Gray Wolf,1.98
empowering prayer,1.99
Tariff Ring,1.99
Covenant of Thorns,1.99
Blazing Direwolf,1.99
Give Bath,1.99
Set the Traps,1.99
Sink into Oblivion,1.99
Trusty Steed,1.99
Veteran Soldier,1.99
rousing slam,2
Zephyrs Edge,2
Refracting Missile,2
Bauble of Mending,2
Beastbond Paws,2
Harness Mana,2
Life Essence Amulet,2
Invigorated Slash,2.05
Varuckan Acolyte,2.09
Fractal of Insight,2.19
Peaceful Reunion,2.19
Windstream Mutt,2.24
Scavenging Raccoon,2.25
Shock Therapy,2.25
Shroud in Mist,2.3
Wind Cutter,2.31
Tithe Proclamation,2.36
Thieving Cut,2.36
Lurking Assailant,2.37
Gentle Respite,2.38
Energetic Beastbonder,2.39
Embertail Squirrel,2.42
Drowned Cut,2.43
Assassins Ripper,2.44
Empowering Harmony,2.48
Bauble of Abundance,2.49
Horn of Beastcalling,2.49
Map of Hidden Passage,2.49
Crystal of Argus,2.5
Eager Page,2.5
Lakeside Serpent,2.5
Opening Cut,2.5
Rallied Advance,2.5
Prodigious Burstmage,2.52
Trained Hawk,2.52
Corhazi Trapper,2.58
Deep Sea Beastbonder,2.59
Windwalker Boots,2.6
Peer into Mana,2.6
Smack with Flute,2.63
Slay the King,2.65
Dewdrop Hares,2.66
Combo Strike,2.69
fiery duelist,2.75
Enraged Boars,2.75
Imbue in Frost,2.75
Song of Frost,2.78
Owl Familiar,2.8
Avatar of Gaia,2.84
Warriors Longsword,2.85
Innervate Agility,2.87
Ornamental Greatsword,2.9
palatial concourse,2.95
Disorienting Winds,2.95
Zephyr Assistant,2.95
Sharpening Stone,2.98
Warriors Longsword,2.99
Artificers Opus,2.99
Cry for Help,2.99
Seers Sword,2.99
Cyclonic Strike,3
strategic warfare,3
enhance hearing,3
Excalibur Cursed Sword,3
Kingdom Informant,3
Poised Strike,3
Poisoned Coating Oil,3
Sudden Snow,3
